time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-01-04T05:23:00.310Z,36.9704,143.3822,22,5.5,mwb,,46,4.176,0.7,us,usc000lwp7,2014-03-07T00:25:58.000Z,"218 km ESE of Namie, Japan",earthquake,,1.7,0.075,17,reviewed,us,us
2014-02-17T05:55:59.160Z,18.5285,120.4305,20.23,5.5,mww,,43,0.971,0.93,us,usc000mruf,2022-07-26T07:24:14.884Z,"16 km WNW of Davila, Philippines",earthquake,,2.9,,,reviewed,us,us
2014-03-02T20:11:23.430Z,27.4312,127.3674,119,6.5,mww,,17,1.001,0.97,us,usb000mzmn,2022-07-26T08:24:32.938Z,"109 km NW of Nago, Japan",earthquake,,1.8,,,reviewed,us,us
2014-03-13T17:06:50.770Z,33.6842,131.8249,79,6.3,mww,,12,0.969,1.28,us,usc000nabv,2022-07-26T09:28:34.691Z,"32 km SSW of Hikari, Japan",earthquake,,1.8,,,reviewed,us,us
2014-03-19T12:19:26.020Z,24.109,122.2613,20,5.8,mww,,14,0.612,0.91,us,usc000ngte,2022-07-26T09:57:44.869Z,"68 km ENE of Hualien City, Taiwan",earthquake,,1.7,,,reviewed,us,us
2014-03-26T08:49:41.910Z,28.19,131.5108,10,5.5,mww,,29,3.176,0.71,us,usc000nqxt,2014-05-29T23:32:06.000Z,"199 km E of Naze, Japan",earthquake,,1.7,,,reviewed,us,us
2014-04-02T23:22:47.720Z,39.1648,141.8049,58.06,5.5,mwb,,73,3.027,0.99,us,usc000p20r,2022-07-26T11:58:35.150Z,"12 km NE of ?funato, Japan",earthquake,,3.8,0.044,50,reviewed,us,us
2014-05-02T09:15:20.720Z,37.852,144.2342,15.97,5.6,mww,,17,4.239,0.67,us,usb000q6x6,2022-05-03T16:49:08.069Z,"258 km ESE of ?funato, Japan",earthquake,,2.7,,,reviewed,us,us
2014-05-03T10:57:13.650Z,22.276,144.0124,89.55,5.6,mww,,15,5.078,0.8,us,usb000q81w,2022-05-03T16:49:12.337Z,"Volcano Islands, Japan region",earthquake,,3.5,,,reviewed,us,us
2014-05-04T20:18:24.680Z,34.9118,139.4186,153,6,mww,,15,1.813,0.95,us,usb000q9sv,2022-08-06T23:33:17.299Z,"31 km ESE of It?, Japan",earthquake,,1.8,,,reviewed,us,us
2014-05-05T11:08:43.420Z,19.6557,99.6696,6,6.1,mww,,18,1.081,0.56,us,usb000qack,2022-08-06T23:34:09.841Z,"32 km SSW of Chiang Rai, Thailand",earthquake,,1.7,,,reviewed,us,us
2014-05-15T10:16:42.020Z,9.3832,122.0604,15.46,6.3,mww,,15,4.172,0.97,us,usb000qniy,2022-05-03T16:51:18.292Z,"51 km WSW of Alim, Philippines",earthquake,,2.9,,,reviewed,us,us
2014-05-21T00:21:12.900Z,23.7553,121.5005,13,5.6,mww,,19,0.406,0.84,us,usb000qxnd,2022-07-26T15:20:47.698Z,"Taiwan",earthquake,,1.7,,,reviewed,us,us
2014-05-23T20:49:21.970Z,24.9737,97.8437,8,5.8,mww,,24,4.443,0.98,us,usb000r1y6,2022-05-03T16:52:10.215Z,"63 km SE of Myitkyina, Myanmar",earthquake,,1.7,,,reviewed,us,us
2014-05-30T01:20:15.170Z,24.9997,97.845,10,5.9,mww,,18,4.441,0.86,us,usc000r8xg,2022-05-03T16:52:15.368Z,"62 km SE of Myitkyina, Myanmar",earthquake,,1.7,,,reviewed,us,us
2014-05-30T15:26:14.180Z,9.3864,126.4726,14.53,5.7,mww,,82,2.465,1.13,us,usc000r948,2022-05-03T16:52:26.423Z,"33 km ENE of Cortes, Philippines",earthquake,,3,,,reviewed,us,us
2014-06-14T17:31:41.560Z,39.4384,140.9876,92,5.5,mww,,15,3.056,0.67,us,usc000rfj5,2022-05-03T16:54:40.962Z,"12 km WNW of Hanamaki, Japan",earthquake,,1.8,,,reviewed,us,us
2014-06-15T18:19:14.540Z,36.6041,141.7237,15.87,5.5,mww,,48,2.829,0.78,us,usc000rfu7,2022-07-26T17:08:12.209Z,"near the east coast of Honshu, Japan",earthquake,,2.6,,,reviewed,us,us
2014-06-15T20:14:50.620Z,37.0961,141.1141,45,5.6,mww,,58,2.395,0.83,us,usc000rfv0,2022-07-26T17:10:14.374Z,"21 km ENE of Iwaki, Japan",earthquake,,1.9,,,reviewed,us,us
2014-06-29T05:56:31.720Z,24.3877,142.6278,48,6.2,mww,,11,2.726,0.66,us,usc000rnfx,2022-05-03T16:55:35.507Z,"Volcano Islands, Japan region",earthquake,,1.8,,,reviewed,us,us
2014-06-30T19:55:32.390Z,28.3404,138.8441,511,6.2,mww,,13,3.21,0.64,us,usc000rnx0,2022-05-03T16:55:42.716Z,"Bonin Islands, Japan region",earthquake,,1.9,,,reviewed,us,us
2014-07-04T22:42:05.070Z,39.648,142.0802,50.31,5.7,mww,,17,2.501,0.72,us,usc000rqix,2022-07-26T18:50:43.566Z,"11 km E of Miyako, Japan",earthquake,,3.5,,,reviewed,us,us
