name,lo,la,mag
201612312143,153.7578,-5.9993,5.1
201612310521,177.0489,51.9519,5.2
201612301256,-177.7756,-30.5784,5.4
201612300710,126.5028,1.7358,5.0
201612300258,-177.8589,-33.5518,5.0
201612292230,118.6639,-9.0279,6.3
201612291627,161.3504,-10.6915,5.1
201612290234,174.5567,-41.7011,5.3
201612280431,83.5305,-42.857,5.0
201612270230,161.0674,-10.1434,5.4
201612260448,-105.1959,-4.2861,5.4
201612221605,164.7191,55.2118,5.2
201612220719,-178.7289,-34.6586,5.3
201612211643,145.4081,21.5138,5.9
201612190711,-79.7079,0.8754,5.4
201612190250,153.5394,-5.6251,5.1
201612161134,-90.8703,14.0889,5.5
201612152223,160.5186,-9.9092,5.4
201612131550,161.1684,-10.5362,5.0
201612130946,133.8417,-2.3411,5.1
201612121554,-79.7855,0.8529,5.2
201612120256,-68.062,-30.9721,5.0
201612110932,160.8278,-10.25,5.3
201612080515,86.3451,43.8229,6.0
201612080007,71.1604,36.454,5.0
201612071342,128.8414,-3.0277,5.0
201612060121,167.2901,-14.9142,5.2
201612051806,-66.656,-23.185,5.0
201612051424,59.1943,27.7028,5.1
201612050733,-75.3081,-47.1545,5.2
201612042134,92.116,32.4198,5.2
201612031411,-176.3381,-22.6371,5.5
201612030923,174.1698,52.2532,5.9
201612021357,-101.2981,17.3706,5.0
201612011652,80.6321,29.979,5.2
201612010516,157.7689,52.4199,5.0
201611290353,125.6755,-0.171,5.2
201611282142,-175.0249,-23.1635,5.0
201611281126,53.736,14.5659,5.4
201611270912,136.869,-3.0023,5.0
201611270610,-175.201,-19.6283,5.1
201611270018,178.9921,-37.0048,5.1
201611261240,141.2374,26.3534,5.0
201611260239,-32.1017,3.7902,5.0
201611251101,-178.6787,-31.9595,5.1
201611250726,160.5536,54.4632,5.6
201611250406,164.7419,55.1456,5.1
201611240035,138.1936,31.7455,5.2
201611232123,141.3209,37.2143,5.9
201611231608,-179.954,51.6931,5.2
201611220513,172.9958,-42.9302,5.5
201611211300,38.2898,-44.1498,5.1
201611200908,39.2116,-44.3977,5.2
201611191736,125.9939,3.5817,5.1
201611190248,135.42,33.8144,5.3
201611182054,-177.0201,-28.1398,5.6
201611181422,173.2622,-42.591,5.3
201611180742,6.2349,34.7466,5.2
201611172145,96.1511,32.6865,5.0
201611162026,-177.5663,-22.095,5.3
201611161510,113.2445,-9.0027,5.7
201611160030,-173.0161,-20.2391,5.8
201611130101,-67.3071,-28.1225,5.3
201611121615,178.7853,-24.966,5.9
201611112142,141.5658,38.4973,6.1
201611111453,-74.5069,-8.6006,5.2
201611110813,174.4873,52.7003,5.3
201611110026,111.4821,-8.8241,5.0
201611101735,-178.223,-20.4275,5.6
201611092220,142.1618,38.7262,5.0
201611090815,167.0538,-14.927,5.0
201611090433,-179.0126,-33.2571,5.0
201611082330,-63.3108,-27.2512,5.1
201611072131,104.8401,-8.11,5.8
201611070144,-96.803,35.9907,5.0
201611062025,128.7411,26.3169,5.2
201611052338,153.6068,-4.4127,5.0
201611051318,-129.5403,-55.0308,5.4
201611050546,-41.0744,30.7333,5.0
201611042326,95.4706,2.8781,5.0
201611040545,169.2618,-18.9198,5.0
201611031611,129.4058,-2.9697,5.0
201611030459,-87.8322,12.2743,5.1
201611021615,-177.6518,-30.5023,5.0
201611020344,163.6926,54.7482,5.4
201611010827,-15.0677,-35.2357,5.2
201610311602,61.6968,20.8773,5.4
201610310544,-68.4858,-22.3901,5.1
201610301706,-175.1558,-23.6414,5.3
201610292201,-72.5856,-33.8433,5.2
201610291220,-42.4943,29.9699,5.2
201610280526,153.2156,-4.6721,5.9
201610272032,-72.5321,-33.7771,6.0
201610270817,125.758,1.3702,5.8
201610270103,-15.5911,-1.5056,5.6
201610260519,-174.8622,-15.4371,6.1
201610250718,-71.0692,-26.7009,5.0
201610231146,142.102,23.1844,5.0
201610221749,129.8245,-6.3042,5.0
201610211632,145.5417,-3.4197,5.0
201610210507,133.8092,35.3743,6.2
201610202050,123.947,-8.9584,5.2
201610181636,-179.843,-23.3265,5.9
201610180751,61.4514,5.643,5.4
201610180426,-47.1778,-60.2958,5.3
201610172145,126.1017,10.0126,5.1
201610161304,-80.1252,-7.0092,5.0
201610160903,-64.37,-24.19,5.0
201610152014,20.6463,39.8063,5.5
201610141829,125.6031,9.1253,5.4
201610130355,-109.7346,25.476,5.3
201610122032,5.9023,-54.4418,5.1
201610121039,144.7538,10.721,5.0
201610101316,-175.1744,-15.2808,5.2
201610100835,-174.8198,-15.372,5.6
201610071218,-141.3874,-56.643,5.0
201610061551,121.436,22.6258,5.8
201610031807,-175.4754,-23.6483,5.2
201610031502,99.1943,2.4941,5.1
201610021340,119.7489,16.4787,5.4
201610020150,155.455,-6.4428,5.3
201610011317,-29.336,40.7827,5.2
201610010804,73.6822,34.9048,5.4
201609301949,-173.0893,-16.0856,5.0
201609300527,159.4764,-59.6023,5.1
201609281648,-86.5146,12.4417,5.5
201609281250,144.6301,20.976,5.0
201609272057,27.6141,36.3888,5.1
201609271622,145.6196,17.5577,5.0
201609261119,-111.6146,-28.2454,5.0
201609250428,-177.7666,-32.3987,5.6
201609231505,141.7943,30.4921,5.1
201609231028,141.2321,34.5949,5.0
201609220848,-111.6546,-28.0726,5.0
201609200505,-70.4927,-17.5239,5.0
201609200131,59.0374,-30.9191,5.4
201609181102,60.9453,-29.2306,5.0
201609180717,140.4805,-2.0354,5.8
201609171434,140.6252,-2.0427,5.1
201609161838,60.9158,-29.1551,5.5
201609161204,-30.9715,-54.6725,5.3
201609160750,125.5009,5.6811,5.4
201609151346,-94.9137,17.1295,5.2
201609150557,-86.6423,12.44,5.7
201609150230,91.7111,10.1636,5.0
201609140158,-76.1686,7.3736,6.0
201609131012,139.7844,35.8978,5.0
201609122334,-173.1416,-19.7036,5.0
201609121510,101.7667,-4.9064,5.3
201609121132,129.2162,35.7808,5.4
201609120651,-112.3053,-28.7552,5.8
201609102054,146.8178,-6.4496,5.0
201609091717,-45.8844,22.1325,5.3
201609091153,141.1259,36.3925,5.4
201609081213,149.1564,44.4751,5.2
201609080234,-68.622,-21.799,5.0
201609071432,120.4097,-0.9389,5.1
201609070942,142.638,42.3797,5.0
201609061522,125.2019,24.7815,5.1
201609061207,95.7714,-45.8029,5.3
201609060737,-67.6974,-21.2264,5.0
201609060413,165.9801,-10.8889,5.6
201609050614,126.9337,3.6701,5.2
201609050235,-118.9656,-54.8189,5.3
201609042000,178.9698,-37.3287,5.0
201609041540,155.8351,49.7569,5.0
201609040238,125.8874,8.3989,5.8
201609020648,-30.6304,-55.2302,5.3
201609011014,-175.525,-22.0296,5.2
201609010600,153.7359,46.7758,5.1
201608312204,178.9278,-37.132,5.8
201608311539,-27.349,-56.1316,5.1
201608300809,-72.555,-34.8956,5.4
201608292140,-4.8826,-56.0727,5.4
201608290820,-17.9729,-0.1168,5.0
201608290429,-17.8255,-0.0456,7.1
201608282329,173.1687,-22.9893,5.2
201608281814,-176.2758,-28.3771,5.2
201608281426,-31.3492,-55.0816,5.1
201608271514,-158.2733,55.7051,5.1
201608261548,146.5842,-8.7003,5.2
201608251704,137.8537,30.6141,5.9
201608241034,94.569,20.9228,6.8
201608230902,-173.2139,-20.3782,5.0
201608222043,-31.1607,-55.0691,5.0
201608212313,143.637,39.7547,5.3
201608191733,-32.0659,-55.215,5.8
201608181119,128.2016,-7.3762,5.3
201608180754,149.9895,-6.2413,5.1
201608161817,-71.0971,-19.7581,5.1
201608160258,-68.6772,-22.5053,5.4
201608151800,172.8834,-22.4968,5.1
201608151132,122.1945,10.9027,5.4
201608150704,141.7203,37.4115,5.6
201608150259,-72.0092,-15.6542,5.5
201608140409,-176.2612,-27.348,5.5
201608131405,124.4906,11.5445,5.1
201608130829,101.5459,37.7136,5.2
201608111806,-25.3369,-58.9588,5.0
201608091343,-179.7925,-31.6402,5.0
201608081224,-71.6537,-31.5865,5.0
201608072121,-132.8221,-54.0224,5.1
201608071402,104.164,-5.9627,5.0
201608061956,169.595,-22.949,5.2
201608060419,132.4492,4.7437,5.3
201608040901,143.449,-4.2681,5.2
201608031515,-27.1804,-55.783,5.1
201608031052,165.1803,55.4157,5.0
201608021240,82.5802,-23.877,5.0
201608020732,-25.5494,-58.7496,5.6
201608012124,159.4249,-9.3859,5.0
201607312340,117.8136,-8.1935,5.6
201607301726,22.9493,35.2905,5.2
201607301319,155.8087,-6.9459,5.6
201607281544,-172.5315,-16.8237,5.1
201607271447,140.7576,36.492,5.3
201607270643,-67.7928,-24.065,5.4
201607241803,150.7864,46.0617,5.2
201607241410,-28.9702,0.915,5.7
201607230100,146.9212,47.6981,5.8
201607221131,121.2752,19.2138,5.0
201607210545,155.1165,-7.198,5.3
201607202248,127.7189,-7.6233,5.0
201607201513,169.0547,-18.9285,6.1
201607200757,-13.1952,-15.5267,5.2
201607190518,-71.9722,-30.2523,5.8
201607160821,145.8398,16.5777,5.1
201607112028,102.3012,-4.5071,5.2
201607100931,100.0902,0.0313,5.1
201607100232,-103.2511,-35.8108,5.6
201607082316,125.8333,8.6477,5.2
201607081648,140.8128,-54.2339,5.4
201607080940,122.511,-32.458,5.2
201607070416,148.6051,-6.1224,5.0
201607062358,56.429,27.657,5.1
201607061313,-173.6624,-18.6581,5.2
201607060101,-142.0798,-56.7696,5.8
201607051906,-177.8683,-32.9354,5.2
201607051522,145.3086,21.8727,5.0
201607050229,-70.9463,-20.19,5.1
201607040925,164.9682,-10.6273,5.9
201607031613,-178.4788,51.614,5.3
201607020928,119.2173,-10.3268,5.0
201607020535,169.8163,-20.5547,5.4
201607020147,146.9213,43.3003,5.0
201607011458,70.5594,38.8808,5.0
201606281355,133.7873,-4.2141,5.1
201606280932,159.5658,55.1583,5.3
201606280332,105.3444,-5.992,5.3
201606271251,-71.4198,-31.7806,5.0
201606262257,142.2226,36.9968,5.7
201606261418,143.3417,12.0567,5.4
201606261117,73.3388,39.4793,6.4
201606250640,126.1078,6.5759,5.2
201606242129,-69.3417,-25.7705,5.5
201606232105,123.3704,23.694,5.8
201606231455,-177.8394,-30.1541,5.3
201606231135,70.6894,36.4695,5.3
201606230744,-176.9757,-27.8795,5.2
201606230305,-42.912,-60.6729,5.5
201606221059,127.0344,0.4996,5.2
201606201642,139.8705,-3.4668,5.0
201606200350,168.7595,-20.2072,6.0
201606192313,-11.5699,-5.6474,5.4
201606191820,121.3782,20.1726,5.6
201606190500,126.1072,1.0227,5.2
201606190116,57.1839,-31.8832,5.3
201606181729,-67.1526,-24.1467,5.7
201606180112,-163.5088,53.5727,5.0
201606172126,166.37,-11.6148,5.7
201606170839,128.3312,-7.4889,5.1
201606162142,130.4299,28.3114,5.1
201606161346,168.9219,-20.5822,5.7
201606161031,168.8866,-20.546,5.3
201606160521,140.9353,41.9836,5.2
201606160048,-178.6089,-20.7811,5.1
201606150658,166.5804,-62.3661,5.7
201606140345,-87.0309,12.7973,5.2
201606131741,139.44,-50.906,5.0
201606130059,-104.8111,-4.4284,5.7
201606121711,147.9433,43.887,5.3
201606112254,139.9693,35.9783,5.0
201606091954,121.0986,16.5742,5.4
201606090413,116.2669,-11.2487,6.1
201606071915,126.3712,1.2789,6.3
201606060235,-177.8359,-30.0235,6.1
201606051038,125.339,-2.9843,5.0
201606042159,168.2801,-18.2531,5.2
201606031823,169.3511,54.1558,5.3
201606031340,148.4678,-49.2427,5.2
201606020223,-105.8338,18.0217,5.8
201606012256,100.6654,-2.0967,6.6
201606010830,-105.7719,17.9129,5.4
201605312051,-158.4417,55.3621,5.7
201605311004,154.3641,47.5484,5.9
201605310523,122.5458,25.5615,6.4
201605302227,129.3992,-3.8992,5.1
201605291820,128.9297,-7.2692,5.1
201605290558,-40.9912,10.6119,5.0
201605282354,3.5166,36.4313,5.4
201605280946,-26.9353,-56.2409,7.2
201605271503,152.536,-4.8993,5.2
201605271000,-74.9983,-8.4546,5.0
201605260102,-85.7235,11.4976,5.2
201605250836,26.2106,34.9521,5.3
201605231920,-93.8984,16.7065,5.4
201605230343,-67.3269,-22.0311,5.0
201605210606,140.0808,30.9561,5.5
201605201814,129.8841,-25.5655,6.0
201605200701,-128.4588,43.7904,5.0
201605192025,-66.4687,-27.9805,5.1
201605180757,-79.7899,0.4261,6.7
201605172108,107.5385,-10.0709,5.2
201605170456,151.8567,-5.2288,5.1
201605170147,141.7649,24.3271,5.3
201605160639,-103.1118,8.5038,5.5
201605151204,-167.9395,52.5113,5.4
201605111311,-71.7475,-30.663,5.4
