name,lo,la
15581,103.396,41.7512
15582,104.0025,41.6909
15583,104.8168,41.5573
15584,103.1111,41.7447
15585,104.9107,41.1696
15586,104.145,41.167
15587,103.8191,41.1557
15588,105.1514,40.8103
15589,104.4421,40.757
15590,105.4336,40.4146
15591,104.7491,40.4947
15592,106.2349,40.3604
15593,105.7585,40.3386
15594,105.493,40.1561
15595,106.1405,39.9653
15596,105.6941,39.9097
15597,106.401,39.5114
15598,106.7248,39.9261
15599,103.6707,40.8174
15600,104.0744,40.6379
15601,104.2799,40.3364
15602,104.9308,40.0641
15603,104.3139,40.0263
15604,103.5101,40.0283
15605,103.8627,40.0257
15606,103.1549,39.9052
15607,104.8851,39.8018
15608,104.4524,39.7709
15609,103.9539,39.7459
15610,102.817,39.6916
15611,103.6018,39.7002
15612,104.7091,39.6079
15613,103.4498,39.471
15614,105.0787,39.6105
15615,105.395,39.5348
15616,104.0699,39.4752
15617,104.1733,39.1574
15618,105.6873,38.9821
15619,105.058,39.0793
15620,103.0161,40.8161
15621,103.0141,40.5969
15622,103.6046,40.5837
15623,103.0485,40.2841
15624,103.8259,40.3637
15625,105.314,39.8385
15626,105.0272,39.3487
15627,105.2567,39.237
15628,105.719,39.2876
15629,104.6718,39.4149
15630,105.3287,39.002
15631,103.6076,38.0094
15632,103.6102,38.331
15633,103.6478,38.1982
15634,103.9536,38.2307
15635,104.0203,37.8527
15636,104.0983,38.6177
15637,104.149,37.9714
15638,104.1671,38.7711
15639,104.2525,38.6816
1563A,105.3287,39.0021
15640,104.256,38.1412
15641,104.2593,37.4702
15642,104.2706,38.5102
15643,104.3174,37.7171
15644,104.6294,38.394
15645,104.6169,38.2149
15646,104.6954,37.8985
15647,104.8215,37.6569
15648,104.8495,38.6637
15649,104.9138,38.1416
15650,105.0024,37.8915
15651,105.0874,38.392
15652,105.1419,38.5848
15653,105.2051,37.7623
15654,105.2929,38.0206
15655,105.3181,38.2226
15656,105.3688,38.7538
15657,105.5357,37.8535
15658,105.6072,38.2458
15659,105.6431,38.5385
15660,105.6757,38.0672
15661,105.2261,41.5466
15662,105.3431,40.9966
15663,105.6158,41.6761
15664,105.9396,40.6925
15665,105.8203,41.1782
15666,106.1454,41.3854
15667,106.2403,41.904
15668,106.0053,40.8602
15669,106.4701,41.148
1566A,103.963,37.6296
15670,106.5689,40.5668
15671,106.7008,41.6365
15672,106.7627,40.4211
15673,106.9077,40.9831
15674,106.894,42.1394
15675,107.0168,40.6391
15676,107.1533,41.4437
15677,107.4397,42.0065
15678,107.3969,40.4109
15679,107.3476,41.0297
15680,107.4205,41.2667
15681,107.4047,40.6189
15682,108.4424,41.4162
15683,107.5697,42.2722
15684,107.7129,40.997
15685,107.7396,42.1005
15686,107.7541,41.8252
15687,107.8469,41.3919
15688,107.8857,40.7698
15689,108.1173,42.326
15690,108.1592,40.3451
15691,108.2197,40.9695
15692,108.2098,41.7195
15693,108.3152,40.7853
15694,108.4821,41.9772
15695,108.6773,40.3633
15696,108.7797,41.1763
15697,108.8638,42.3561
15698,108.8333,41.4865
15699,108.8832,41.8336
15700,108.9132,42.0641
15701,106.9146,40.0643
15702,107.51,40.1207
15703,107.8455,40.0113
15704,108.2312,39.9476
15705,108.6083,39.9276
15706,107.0064,39.7948
15707,107.4429,39.7499
15708,107.8971,39.7446
15709,108.3555,39.7071
15710,108.6718,39.7165
15711,107.096,39.4563
15712,107.4411,39.4743
15713,107.8288,39.4685
15714,108.2647,39.4911
15715,108.693,39.4302
15716,107.1244,39.1925
15717,107.4646,39.2167
